5 3 A #3 = 0, #5 = 5
7 3 CBABABAACAAAAAAAAAAAB #3 = 8, #5 = 4
7 1 CBABABAACAAAACA #3 = 6, #5 = 6
7 3 CBABABABAAAAAABA #3 = 10, #5 = 2
7 3 CBABABABAAAAAABAAAAAB #3 = 12, #5 = 2
7 2 CBABABABAAAAAABAAAAB #3 = 14, #5 = 2
7 3 CBABABABAAAAAACA #3 = 8, #5 = 4
7 3 CBABABABAAAAAACAAAAAB #3 = 10, #5 = 4
7 2 CBABABABAAAAAACAAAABA #3 = 10, #5 = 4
7 3 CBABABABAAAABA #3 = 10, #5 = 2
7 3 CBABABABAAAABAAAAAAAB #3 = 12, #5 = 2
7 2 CBABABABAAAABAAAAAAB #3 = 14, #5 = 2
7 2 CBABABABAAAABAAAAAACA #3 = 10, #5 = 4
7 2 CBABABABAAAABAAAAABA #3 = 12, #5 = 2
7 2 CBABABABAAAABAAAABAAB #3 = 14, #5 = 2
7 1 CBABABABAAAABACAAAABA #3 = 12, #5 = 4
7 1 CBABABABAAAABACAAABA #3 = 12, #5 = 4
7 1 CBABABABAAAABACAABAAB #3 = 14, #5 = 4
7 1 CBABABABAAAABBAAAAAB #3 = 16, #5 = 2
7 1 CBABABABAAAABBAAAAACA #3 = 12, #5 = 4
7 1 CBABABABAAAABBAAABAAB #3 = 16, #5 = 2
7 3 CBABABABAAAACA #3 = 8, #5 = 4
7 3 CBABABABAAAACAAAAAAAB #3 = 10, #5 = 4
7 2 CBABABABAAAACAAAAAABA #3 = 10, #5 = 4
7 2 CBABABABAAAACAAAAAACB #3 = 10, #5 = 6
7 2 CBABABABAAAACAAAAACA #3 = 8, #5 = 6
7 1 CBABABABAAAACABAAAACA #3 = 10, #5 = 6
7 1 CBABABABAAAACABAAACA #3 = 10, #5 = 6
7 2 CBABABABAAABAAAAAAACB #3 = 12, #5 = 4
7 2 CBABABABAAABAAAAABA #3 = 12, #5 = 2
7 2 CBABABABAAABAAAAACA #3 = 10, #5 = 4
7 3 CBABABABAAABAABAABA #3 = 14, #5 = 2
7 1 CBABABABAAABAABAABBA #3 = 16, #5 = 2
7 3 CBABABABAAABAABAACA #3 = 12, #5 = 4
7 1 CBABABABAAABAABAACABA #3 = 14, #5 = 4
7 4 CBABABABBA #3 = 10, #5 = 2
7 4 CBABABABBAAAAAAAAAAAB #3 = 12, #5 = 2
7 1 CBABABABBAAAAABA #3 = 12, #5 = 2
7 1 CBABABABBAAAAABAAAAAB #3 = 14, #5 = 2
7 1 CBABABABBAAAAACA #3 = 10, #5 = 4
7 1 CBABABABBAAAAACAAAAAB #3 = 12, #5 = 4
7 2 CBABABABBAAAABA #3 = 12, #5 = 2
7 2 CBABABABBAAAABAAAAAAB #3 = 14, #5 = 2
7 1 CBABABABBAAAABAAAAAB #3 = 16, #5 = 2
7 1 CBABABABBAAAABAAAAACA #3 = 12, #5 = 4
7 1 CBABABABBAAAABCA #3 = 12, #5 = 4
7 1 CBABABABBAAAABCAAAAAB #3 = 14, #5 = 4
7 2 CBABABABBAAAACA #3 = 10, #5 = 4
7 2 CBABABABBAAAACAAAAAAB #3 = 12, #5 = 4
7 1 CBABABABBAAAACAAAAABA #3 = 12, #5 = 4
7 1 CBABABABBAAAACAAAAACB #3 = 12, #5 = 6
7 1 CBABABABBAAAACBA #3 = 12, #5 = 4
7 1 CBABABABBAAABA #3 = 12, #5 = 2
